id,L,R,F,M,P,S,X
d8d36575,23.933333333333334,13.433333333333334,2,5266.5,5267.0,中午,女
8527d4d0,107.06666666666666,2.066666666666667,7,12850.0,11850.0,下午,女
586a3339,52.3,0.5666666666666667,10,6340.8,6141.0,上午,女
c2477497,56.06666666666667,2.2666666666666666,1,8964.0,8964.0,中午,女
0706d57c,18.2,2.066666666666667,1,236.0,236.0,上午,女
f70ee502,18.033333333333335,2.5,3,3010.0,3010.0,下午,女
9065a184,55.86666666666667,1.2666666666666666,36,66523.1,66423.0,下午,男
59270c11,15.633333333333333,7.566666666666666,5,2488.0,2488.0,下午,女
c08282e0,55.7,16.033333333333335,3,2277.0,2277.0,下午,男
5c017c79,5.6,5.6,1,1782.0,1782.0,下午,女
13d3ad89,68.43333333333334,35.833333333333336,1,250.0,250.0,下午,女
ba0cc39e,13.066666666666666,13.066666666666666,1,1270.0,1270.0,下午,女
71852fb7,109.13333333333334,35.6,1,2004.0,2004.0,晚上,女
888ad59a,107.4,7.3,1,2500.0,2500.0,晚上,女
232b766b,11.533333333333333,11.533333333333333,1,600.0,600.0,中午,女
2c2b1f44,32.666666666666664,7.2,2,1060.0,1060.0,下午,女
e145bb61,55.96666666666667,7.966666666666667,10,20757.0,20280.0,中午,女
2d513502,79.46666666666667,1.2333333333333334,3,8736.5,8435.0,下午,女
9248856b,17.566666666666666,17.566666666666666,1,295.0,295.0,晚上,女
aebaf0dc,110.83333333333333,14.766666666666667,4,8214.0,8214.0,中午,女
9211902d,79.23333333333333,36.1,2,3388.0,3388.0,晚上,女
121bbf24,35.666666666666664,35.666666666666664,2,10782.0,10782.0,中午,女
50a386ba,41.56666666666667,13.4,1,1799.0,1799.0,下午,女
ec096ea4,15.966666666666667,2.6666666666666665,6,4340.0,4340.0,中午,女
669ec300,2.6,2.6,2,10871.0,10871.0,下午,女
6d9413fd,17.133333333333333,17.133333333333333,1,2025.0,2025.0,中午,女
53396ea8,2.3,1.9333333333333333,2,5139.0,3139.0,晚上,女
0d347571,10.433333333333334,10.4,1,1390.0,1390.0,中午,男
